Date,ticker,instrument,open,high,low,close,volume
2000-01-03,IBM,IBM,107.49,110.9,106.96,110.9,10823694
2000-01-04,IBM,IBM,108.99,109.46,106.0,107.13,8606279
2000-01-05,IBM,IBM,107.97,114.48,107.19,110.9,13318927
2000-01-06,IBM,IBM,112.81,113.71,108.51,108.99,8338607
2000-01-07,IBM,IBM,112.09,112.75,105.76,108.51,12402108
2000-01-10,IBM,IBM,112.09,114.13,110.3,112.81,8933363
2000-01-11,IBM,IBM,112.69,115.8,111.5,113.77,8235472
2000-01-12,IBM,IBM,114.36,116.63,113.05,114.24,7116775
2000-01-13,IBM,IBM,114.66,115.68,110.66,113.05,8880226
2000-01-14,IBM,IBM,115.62,117.89,112.33,114.36,11460604
2000-01-18,IBM,IBM,114.42,114.48,109.94,110.66,7995519
2000-01-19,IBM,IBM,110.48,116.63,107.73,114.24,9031687
2000-01-20,IBM,IBM,117.59,119.26,113.77,113.77,18601436
2000-01-21,IBM,IBM,116.52,117.59,114.66,116.16,8230660
2000-01-24,IBM,IBM,116.52,117.47,111.44,116.16,6798163
2000-01-25,IBM,IBM,111.62,114.24,110.9,113.89,7255997
2000-01-26,IBM,IBM,113.83,114.66,110.9,111.62,5120275
2000-01-27,IBM,IBM,112.81,113.23,106.72,108.51,8707532
2000-01-28,IBM,IBM,107.79,109.17,105.22,106.66,6976192
2000-01-31,IBM,IBM,106.48,107.85,104.8,107.31,6488024
2000-02-01,IBM,IBM,107.43,108.45,104.33,105.16,7640716
2000-02-02,IBM,IBM,107.07,110.72,105.52,108.51,8062254
2000-02-03,IBM,IBM,109.94,112.33,109.05,111.97,6499635
2000-02-04,IBM,IBM,112.99,113.23,109.76,110.54,5653944
2000-02-07,IBM,IBM,110.9,111.74,108.15,109.11,6045357
2000-02-08,IBM,IBM,111.79,113.77,111.08,113.59,5715658
2000-02-09,IBM,IBM,113.77,114.48,111.85,112.21,5621936
2000-02-10,IBM,IBM,112.51,113.89,111.74,113.89,4651144
2000-02-11,IBM,IBM,113.83,114.18,109.52,110.3,6013872
2000-02-14,IBM,IBM,110.9,111.26,109.46,110.96,4753024
2000-02-15,IBM,IBM,110.78,112.27,108.87,111.97,5415665
2000-02-16,IBM,IBM,111.38,112.15,110.18,110.66,4149377
2000-02-17,IBM,IBM,111.38,113.65,110.66,111.62,5478425
2000-02-18,IBM,IBM,110.18,110.84,106.6,107.55,8026376
2000-02-22,IBM,IBM,107.07,108.45,103.97,106.12,8006921
2000-02-23,IBM,IBM,105.64,105.64,103.73,103.97,7777324
2000-02-24,IBM,IBM,104.03,106.12,103.43,105.64,9531152
2000-02-25,IBM,IBM,105.04,105.04,100.32,103.25,10786561
2000-02-28,IBM,IBM,100.02,101.82,99.37,99.9,8869975
2000-02-29,IBM,IBM,100.92,100.92,96.5,98.23,10967205
2000-03-01,IBM,IBM,97.51,100.86,95.66,95.84,11304959
2000-03-02,IBM,IBM,96.08,100.8,95.12,98.59,11707773
2000-03-03,IBM,IBM,102.53,105.16,101.4,103.25,10630289
2000-03-06,IBM,IBM,105.1,106.12,96.56,98.53,11241780
2000-03-07,IBM,IBM,101.34,102.29,97.22,98.47,10496715
2000-03-08,IBM,IBM,98.47,102.17,98.23,101.58,8761714
2000-03-09,IBM,IBM,101.82,103.25,99.55,103.25,6625469
2000-03-10,IBM,IBM,102.89,104.21,100.38,100.62,7419487
2000-03-13,IBM,IBM,99.43,104.21,97.99,102.95,8233066
2000-03-14,IBM,IBM,103.01,105.16,102.65,103.85,8340490
2000-03-15,IBM,IBM,102.77,103.49,101.46,102.29,5926531
2000-03-16,IBM,IBM,104.21,104.98,103.13,104.21,6927135
2000-03-17,IBM,IBM,103.49,106.78,102.95,105.16,9264736
2000-03-20,IBM,IBM,105.16,108.39,105.1,107.79,6865421
2000-03-21,IBM,IBM,107.85,109.64,107.01,108.51,7083094
2000-03-22,IBM,IBM,109.46,110.3,108.87,109.23,6420139
2000-03-23,IBM,IBM,110.78,110.78,106.72,110.18,6791050
2000-03-24,IBM,IBM,110.3,116.87,110.0,115.32,12683378
2000-03-27,IBM,IBM,119.5,122.61,119.14,121.3,12408593
2000-03-28,IBM,IBM,120.22,121.41,116.69,117.11,8524482
2000-03-29,IBM,IBM,116.93,117.05,113.29,113.77,7648666
2000-03-30,IBM,IBM,113.65,117.59,113.47,117.35,9579268
2000-03-31,IBM,IBM,117.23,118.31,111.91,113.17,8383899
2000-04-03,IBM,IBM,114.72,116.99,114.18,116.63,8070518
2000-04-04,IBM,IBM,116.16,121.36,110.0,115.86,17433891
2000-04-05,IBM,IBM,115.2,120.22,114.48,119.5,9093401
2000-04-06,IBM,IBM,118.07,122.37,117.23,117.35,9296220
2000-04-07,IBM,IBM,118.07,120.16,116.16,117.71,5627794
2000-04-10,IBM,IBM,119.26,119.86,116.22,116.75,5760636
2000-04-11,IBM,IBM,116.28,116.28,112.63,114.13,8094680
2000-04-12,IBM,IBM,114.36,114.36,106.78,108.75,9293919
2000-04-13,IBM,IBM,107.55,109.29,105.16,105.76,8615274
2000-04-14,IBM,IBM,104.98,107.79,98.35,100.38,12323972
2000-04-17,IBM,IBM,99.31,107.31,98.77,106.96,10428097
2000-04-18,IBM,IBM,107.31,110.06,105.22,106.6,8582953
2000-04-19,IBM,IBM,104.92,104.92,98.29,100.38,15349527
2000-04-20,IBM,IBM,100.38,100.62,97.57,99.43,11122432
2000-04-24,IBM,IBM,97.51,102.47,96.8,101.82,8915163
2000-04-25,IBM,IBM,101.82,108.03,101.76,107.55,10016914
2000-04-26,IBM,IBM,107.55,108.93,104.21,105.64,6467209
2000-04-27,IBM,IBM,104.68,108.15,103.91,105.76,6608105
2000-04-28,IBM,IBM,107.07,107.73,105.28,106.6,5113476
2000-05-01,IBM,IBM,107.55,108.21,105.58,107.07,4389121
2000-05-02,IBM,IBM,106.12,108.63,105.82,106.48,4272910
2000-05-03,IBM,IBM,105.64,106.24,101.88,103.37,5798815
