Date,ticker,instrument,open,high,low,close,volume
2009-12-29,BRDCY,Bridgestone,8.72249984741211,8.8125,8.712499618530273,8.8125,8800
2009-12-30,BRDCY,Bridgestone,8.850000381469727,8.850000381469727,8.782500267028809,8.850000381469727,5200
2009-12-31,BRDCY,Bridgestone,8.8125,8.837499618530273,8.774999618530273,8.77750015258789,32000
2010-01-04,BRDCY,Bridgestone,8.824999809265137,8.907500267028809,8.824999809265137,8.907500267028809,8800
2010-01-05,BRDCY,Bridgestone,8.862500190734863,8.90250015258789,8.862500190734863,8.90250015258789,29600
2010-01-06,BRDCY,Bridgestone,8.649999618530273,8.657500267028809,8.595000267028809,8.649999618530273,14000
2010-01-07,BRDCY,Bridgestone,8.302499771118164,8.422499656677246,8.302499771118164,8.422499656677246,42000
2010-01-08,BRDCY,Bridgestone,8.362500190734863,8.375,8.362500190734863,8.364999771118164,152400
2010-01-11,BRDCY,Bridgestone,8.4375,8.449999809265137,8.399999618530273,8.40250015258789,60400
2010-01-12,BRDCY,Bridgestone,8.399999618530273,8.462499618530273,8.399999618530273,8.412500381469727,17200
2010-01-13,BRDCY,Bridgestone,8.175000190734863,8.399999618530273,8.175000190734863,8.399999618530273,78800
2010-01-14,BRDCY,Bridgestone,8.324999809265137,8.350000381469727,8.237500190734863,8.324999809265137,8400
2010-01-15,BRDCY,Bridgestone,8.162500381469727,8.162500381469727,8.119999885559082,8.140000343322754,8000
2010-01-19,BRDCY,Bridgestone,8.1899995803833,8.324999809265137,8.1899995803833,8.324999809265137,10000
2010-01-20,BRDCY,Bridgestone,8.25,8.317500114440918,8.25,8.317500114440918,3200
2010-01-21,BRDCY,Bridgestone,8.487500190734863,8.487500190734863,8.387499809265137,8.412500381469727,18000
2010-01-22,BRDCY,Bridgestone,8.449999809265137,8.449999809265137,8.337499618530273,8.337499618530273,2800
2010-01-25,BRDCY,Bridgestone,8.337499618530273,8.337499618530273,8.227499961853027,8.337499618530273,10000
2010-01-26,BRDCY,Bridgestone,8.149999618530273,8.262499809265137,8.149999618530273,8.262499809265137,34000
2010-01-27,BRDCY,Bridgestone,8.0,8.109999656677246,8.0,8.077500343322754,8800
2010-01-28,BRDCY,Bridgestone,8.137499809265137,8.137499809265137,8.050000190734863,8.0600004196167,12800
2010-01-29,BRDCY,Bridgestone,8.0625,8.074999809265137,8.0,8.0649995803833,8000
2010-02-01,BRDCY,Bridgestone,8.237500190734863,8.25,8.157500267028809,8.167499542236328,7600
2010-02-02,BRDCY,Bridgestone,8.149999618530273,8.25,8.149999618530273,8.25,22800
2010-02-03,BRDCY,Bridgestone,8.3125,8.3125,8.220000267028809,8.27750015258789,100000
2010-02-04,BRDCY,Bridgestone,8.199999809265137,8.21500015258789,8.125,8.125,42000
2010-02-05,BRDCY,Bridgestone,8.287500381469727,8.362500190734863,8.25,8.317500114440918,20000
2010-02-08,BRDCY,Bridgestone,8.149999618530273,8.149999618530273,8.050000190734863,8.050000190734863,31600
2010-02-09,BRDCY,Bridgestone,8.125,8.149999618530273,8.079999923706055,8.125,20400
2010-02-10,BRDCY,Bridgestone,8.1875,8.234999656677246,8.140000343322754,8.175000190734863,212400
2010-02-11,BRDCY,Bridgestone,8.137499809265137,8.270000457763672,8.137499809265137,8.25,5200
2010-02-12,BRDCY,Bridgestone,8.112500190734863,8.15999984741211,8.050000190734863,8.15250015258789,12000
2010-02-16,BRDCY,Bridgestone,8.0625,8.087499618530273,8.0,8.087499618530273,24400
2010-02-17,BRDCY,Bridgestone,8.050000190734863,8.149999618530273,8.050000190734863,8.112500190734863,15600
