Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Crypto,Bitcoin,BTC-USD,649,645,4,416,416,0
Crypto,Ethereum,ETH-USD,192,189,3,555,551,4
Crypto,Tether,USDT-USD,349,345,4,475,470,5
Crypto,BNB,BNB-USD,188,189,1,469,470,1
Crypto,Cardano,ADA-USD,192,189,3,316,314,2
Crypto,XRP,XRP-USD,,,,,,
Crypto,Dogecoin,DOGE-USD,283,291,8,199,196,3
Crypto,Solana,SOL-USD,269,268,1,632,636,4
Crypto,Polkadot,DOT-USD,367,368,1,181,179,2
Crypto,Polygon,MATIC-USD,204,202,2,407,408,1
