Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Equity,Apple,AAPL,594,622,28,385,385,0
Equity,Microsoft,MSFT,311,308,3,503,510,7
Equity,Amazon,AMZN,503,510,7,344,344,0
Equity,Alphabet,GOOG,489,487,2,384,385,1
Equity,Tesla,TSLA,229,237,8,433,426,7
Equity,JPMorgan Chase,JPM,363,362,1,311,308,3
Equity,Johnson & Johnson,JNJ,409,408,1,327,322,5
Equity,UnitedHealth,UNH,467,469,2,272,273,1
Equity,Visa,V,236,237,1,497,493,4
Equity,Procter & Gamble,PG,385,385,0,251,250,1
Equity,NVIDIA,NVDA,436,440,4,385,385,0
Equity,Alibaba,BABA,355,354,1,258,259,1
Equity,Toyota,TM,344,344,0,311,308,3
Equity,Samsung,005930.KS,241,243,2,283,290,7
Equity,Nestlé,NSRGY,385,385,0,344,344,0
Equity,Shell,SHEL,284,290,6,409,408,1
Equity,Walmart,WMT,344,344,0,409,408,1
Equity,Mastercard,MA,352,354,2,493,493,0
Equity,ASML Holding,ASML,363,362,1,311,308,3
Equity,LVMH,LVMUY,358,354,4,501,493,8
Equity,Tencent,TCEHY,335,332,3,237,237,0
Equity,TSMC,TSM,251,250,1,284,290,6
Equity,Roche Holding,RHHBY,375,368,7,469,469,0
Equity,Berkshire Hathaway,BRK-B,545,541,4,409,408,1
Equity,Novartis,NVS,284,290,6,344,344,0
Equity,Rio Tinto,RIO,363,362,1,225,219,6
Equity,Exxon Mobil,XOM,436,440,4,284,290,6
Equity,Johnson Controls,JCI,344,344,0,262,259,3
Equity,Intel,INTC,545,541,4,225,219,6
Equity,Coca-Cola,KO,327,322,5,409,408,1
Equity,Merck,MRK,594,622,28,272,273,1
Equity,Home Depot,HD,311,308,3,242,243,1
Equity,Oracle,ORCL,409,408,1,272,273,1
Equity,PayPal,PYPL,293,290,3,,,
Equity,Netflix,NFLX,594,622,28,258,259,1
Equity,Salesforce,CRM,338,332,6,285,290,5
Equity,Adobe,ADBE,225,219,6,311,308,3
Equity,Lockheed Martin,LMT,234,237,3,503,510,7
Equity,Pfizer,PFE,272,273,1,344,344,0
Equity,Disney,DIS,363,362,1,311,308,3
Equity,Starbucks,SBUX,467,469,2,311,308,3
Equity,Caterpillar,CAT,297,290,7,409,408,1
Equity,Deere & Company,DE,251,250,1,363,362,1
Equity,Boeing,BA,467,469,2,242,243,1
Equity,3M,MMM,327,322,5,234,237,3
Equity,Goldman Sachs,GS,363,362,1,311,308,3
Equity,Morgan Stanley,MS,225,219,6,363,362,1
Equity,IBM,IBM,297,290,7,363,362,1
Equity,AT&T,T,436,440,4,363,362,1
Equity,Verizon,VZ,436,440,4,284,290,6
Equity,McDonald's,MCD,385,385,0,503,510,7
Equity,Nike,NKE,311,308,3,503,510,7
Equity,Sony,SONY,262,259,3,436,440,4
Equity,BP,BP,363,362,1,284,290,6
Equity,Unilever,UL,409,408,1,284,290,6
Equity,Honda,HMC,297,290,7,363,362,1
Equity,BHP Group,BHP,363,362,1,297,290,7
Equity,Siemens,SIEGY,284,290,6,363,362,1
Equity,BASF,BASFY,363,362,1,284,290,6
Equity,Banco Santander,SAN,363,362,1,284,290,6
Equity,Infosys,INFY,225,219,6,284,290,6
Equity,ICBC,IDCBY,251,250,1,287,290,3
Equity,Novo Nordisk,NVO,409,408,1,262,259,3
Equity,Thermo Fisher Scientific,TMO,344,344,0,234,237,3
Equity,AbbVie,ABBV,272,273,1,545,541,4
Equity,Comcast,CMCSA,344,344,0,234,237,3
Equity,Accenture,ACN,342,344,2,307,308,1
Equity,Linde,LIN,344,344,0,234,237,3
Equity,Texas Instruments,TXN,363,362,1,234,237,3
Equity,Union Pacific,UNP,311,308,3,545,541,4
Equity,NextEra Energy,NEE,344,344,0,284,290,6
Equity,Medtronic,MDT,327,322,5,409,408,1
Equity,Costco,COST,311,308,3,436,440,4
Equity,Amgen,AMGN,251,250,1,327,322,5
Equity,T-Mobile,TMUS,362,362,0,523,528,5
Equity,Philip Morris,PM,448,440,8,320,322,2
Equity,Lowe's,LOW,242,243,1,311,308,3
Equity,Schlumberger,SLB,363,362,1,311,308,3
Equity,BlackRock,BLK,436,440,4,344,344,0
Equity,Booking Holdings,BKNG,363,362,1,503,510,7
Equity,Canadian Natural Resources,CNQ,291,290,1,426,426,0
Equity,Enbridge,ENB,594,622,28,284,290,6
Equity,Royal Bank of Canada,RY,594,622,28,409,408,1
Equity,SAP,SAP,234,237,3,385,385,0
Equity,TotalEnergies,TTE,363,362,1,284,290,6
Equity,Sanofi,SNY,282,290,8,394,385,9
Equity,AstraZeneca,AZN,251,250,1,284,290,6
Equity,GlaxoSmithKline,GSK,284,290,6,242,243,1
Equity,HSBC,HSBC,363,362,1,284,290,6
Equity,Mitsubishi UFJ Financial,MUFG,311,308,3,479,479,0
Equity,Baidu,BIDU,270,267,3,321,322,1
Equity,JD.com,JD,292,290,2,,,
Equity,Meituan,MPNGF,446,440,6,,,
Equity,Reliance Industries,RELIANCE.NS,381,385,4,499,493,6
Equity,Vale,VALE,544,541,3,352,354,2
Equity,Petrobras,PBR,355,354,1,580,565,15
Equity,Ambev,ABEV,409,408,1,297,290,7
Equity,China Construction Bank,CICHY,252,250,2,403,403,0
Equity,Nintendo,NTDOY,363,362,1,225,219,6
Equity,Bridgestone,BRDCY,503,510,7,237,237,0
Equity,SoftBank,SFTBY,468,469,1,234,237,3
Equity,Anglo American,NGLOY,249,250,1,391,385,6
Equity,Commonwealth Bank,CBAUF,531,528,3,425,426,1
Equity,CSL,CSLLY,288,290,2,447,440,7
Equity,Wesfarmers,WFAFF,273,273,0,425,426,1
Equity,Woolworths,WOLWF,330,332,2,566,565,1
Equity,American Express,AXP,594,622,28,311,308,3
Equity,Shopify,SHOP,297,290,7,,,
Equity,ServiceNow,NOW,340,344,4,,,
Equity,Workday,WDAY,332,332,0,554,551,3
Equity,Intuit,INTU,225,219,6,363,362,1
Equity,Vertex Pharmaceuticals,VRTX,251,250,1,327,322,5
Equity,Regeneron,REGN,327,322,5,272,273,1
Equity,Moderna,MRNA,355,354,1,,,
Equity,Charles Schwab,SCHW,363,362,1,225,219,6
Equity,Blackstone,BX,518,510,8,274,273,1
Equity,S&P Global,SPGI,344,344,0,284,290,6
Equity,Moody's,MCO,225,219,6,344,344,0
Equity,Intercontinental Exchange,ICE,506,510,4,362,362,0
Equity,Cboe Global Markets,CBOE,489,487,2,244,243,1
Equity,CME Group,CME,363,362,1,446,440,6
Equity,Nasdaq,NDAQ,269,267,2,422,426,4
Equity,General Electric,GE,311,308,3,225,219,6
Equity,Ford,F,311,308,3,363,362,1
Equity,Chevron,CVX,409,408,1,311,308,3
Equity,Citigroup,C,297,290,7,594,622,28
Equity,Wells Fargo,WFC,311,308,3,363,362,1
Equity,Bank of America,BAC,363,362,1,311,308,3
Equity,Target,TGT,409,408,1,311,308,3
Equity,PepsiCo,PEP,594,622,28,409,408,1
Equity,Kraft Heinz,KHC,293,290,3,,,
Equity,Eli Lilly,LLY,363,362,1,297,290,7
Equity,Gilead Sciences,GILD,234,237,3,327,322,5
Equity,Honeywell,HON,242,243,1,311,308,3
Equity,Raytheon Technologies,RTX,363,362,1,284,290,6
Equity,Northrop Grumman,NOC,363,362,1,503,510,7
Equity,FedEx,FDX,311,308,3,344,344,0
Equity,United Parcel Service,UPS,234,237,3,311,308,3
Equity,CSX,CSX,311,308,3,363,362,1
Equity,Norfolk Southern,NSC,311,308,3,545,541,4
Equity,Waste Management,WM,311,308,3,409,408,1
Equity,Duke Energy,DUK,327,322,5,409,408,1
Equity,Southern Company,SO,385,385,0,225,219,6
Equity,American Electric Power,AEP,385,385,0,594,622,28
Equity,Charter Communications,CHTR,503,510,7,251,250,1
Equity,Anheuser-Busch InBev,BUD,415,416,1,277,273,4
Equity,Marriott International,MAR,594,622,28,311,308,3
Equity,Hilton Worldwide,HLT,379,385,6,505,510,5
Equity,Kroger,KR,409,408,1,242,243,1
Equity,Abbott Laboratories,ABT,284,290,6,327,322,5
Equity,Bristol-Myers Squibb,BMY,311,308,3,545,541,4
Equity,Exelon,EXC,409,408,1,242,243,1
Equity,General Dynamics,GD,363,362,1,311,308,3
Equity,Newmont Corporation,NEM,297,290,7,436,440,4
Equity,Air Products & Chemicals,APD,344,344,0,311,308,3
Equity,DuPont,DD,311,308,3,344,344,0
Equity,Broadcom Inc.,AVGO,344,344,0,243,243,0
Equity,Qualcomm Inc.,QCOM,344,344,0,284,290,6
Equity,Applied Materials,AMAT,409,408,1,311,308,3
Equity,Lam Research,LRCX,311,308,3,225,219,6
Equity,Micron Technology,MU,225,219,6,311,308,3
Equity,KLA Corporation,KLAC,311,308,3,225,219,6
Equity,Microchip Technology,MCHP,311,308,3,344,344,0
Equity,ConocoPhillips,COP,363,362,1,311,308,3
Equity,Occidental Petroleum,OXY,363,362,1,409,408,1
Equity,Phillips 66,PSX,345,344,1,,,
Equity,Marathon Petroleum,MPC,365,362,3,281,273,8
Equity,Valero Energy,VLO,251,250,1,363,362,1
Equity,Tata Consultancy Services,TCS.NS,306,308,2,341,344,3
