Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Crypto,Bitcoin,BTC-USD,283,291,8,198,196,2
Crypto,Ethereum,ETH-USD,201,202,1,282,273,9
Crypto,Tether,USDT-USD,256,260,4,217,220,3
Crypto,BNB,BNB-USD,235,237,2,352,355,3
Crypto,Cardano,ADA-USD,201,202,1,352,355,3
Crypto,XRP,XRP-USD,256,260,4,,,
Crypto,Dogecoin,DOGE-USD,352,355,3,217,220,3
Crypto,Solana,SOL-USD,276,273,3,387,385,2
Crypto,Polkadot,DOT-USD,361,362,1,258,260,2
Crypto,Polygon,MATIC-USD,270,268,2,,,
